label,print,Sample_origin,group,time,name,Lineage
13,13,Other,other,13,,Cladocopium sp.
13,13,Other,other,13,,Cladocopium sp.
14,14,Other,other,14,,Cladocopium sp.
16,16,Other,other,16,,Cladocopium sp.
18,18,Other,other,18,,Cladocopium sp.
19,19,Other,other,19,,Cladocopium sp.
21,21,Other,other,21,,Cladocopium sp.
21,21,Other,other,21,,Cladocopium sp.
22,22,Other,other,22,,Cladocopium sp.
22,22,Other,other,22,,Cladocopium sp.
23,23,Other,other,23,,Cladocopium sp.
24,24,Other,other,24,,Cladocopium sp.
25,25,Other,other,25,,Cladocopium sp.
30,30,Other,other,30,,Cladocopium sp.
31,31,Other,other,31,,Cladocopium sp.
31,31,Other,other,31,,Cladocopium sp.
32,32,Other,other,32,,Cladocopium sp.
32,32,Other,other,32,,Cladocopium sp.
34,34,Other,other,34,,Cladocopium sp.
35,35,Other,other,35,,Cladocopium sp.
35,35,Other,other,35,,Cladocopium sp.
36,36,Other,other,36,,Cladocopium sp.
36,36,Other,other,36,,Cladocopium sp.
37,37,Other,other,37,,Cladocopium sp.
38,38,Other,other,38,,Cladocopium sp.
39,39,Other,other,39,,Cladocopium sp.
40,40,Other,other,40,,Cladocopium sp.
40,40,Other,other,40,,Cladocopium sp.
40,40,Other,other,40,,Cladocopium sp.
40,40,Other,other,40,,Cladocopium sp.
40,40,Other,other,40,,Cladocopium sp.
40,40,Other,other,40,,Cladocopium sp.
42,42,Other,other,42,,Cladocopium sp.
42,42,Other,other,42,,Cladocopium sp.
43,43,Other,other,43,,Cladocopium sp.
43,43,Other,other,43,,Cladocopium sp.
44,44,Other,other,44,,Cladocopium sp.
44,44,Other,other,44,,Cladocopium sp.
44,44,Other,other,44,,Cladocopium sp.
45,45,Other,other,45,,Cladocopium sp.
45,45,Other,other,45,,Cladocopium sp.
45,45,Other,other,45,,Cladocopium sp.
46,46,Other,other,46,,Cladocopium sp.
47,47,Other,other,47,,Cladocopium sp.
48,48,Other,other,48,,Cladocopium sp.
48,48,Other,other,48,,Cladocopium sp.
48,48,Other,other,48,,Cladocopium sp.
49,49,Other,other,49,,Cladocopium sp.
49,49,Other,other,49,,Cladocopium sp.
49,49,Other,other,49,,Cladocopium sp.
49,49,Other,other,49,,Cladocopium sp.
49,49,Other,other,49,,Cladocopium sp.
50,50,Other,other,50,,Cladocopium sp.
50,50,Other,other,50,,Cladocopium sp.
50,50,Other,other,50,,Cladocopium sp.
51,51,Other,other,51,,Cladocopium sp.
51,51,Other,other,51,,Cladocopium sp.
51,51,Other,other,51,,Cladocopium sp.
51,51,Other,other,51,,Cladocopium sp.
52,52,Other,other,52,,Cladocopium sp.
52,52,Other,other,52,,Cladocopium sp.
53,53,Other,other,53,,Cladocopium sp.
53,53,Other,other,53,,Cladocopium sp.
54,54,Other,other,54,,Cladocopium sp.
54,54,Other,other,54,,Cladocopium sp.
54,54,Other,other,54,,Cladocopium sp.
54,54,Other,other,54,,Cladocopium sp.
54,54,Other,other,54,,Cladocopium sp.
55,55,Other,other,55,,Cladocopium sp.
