parent,node,branch.length,label,Source,time
415,416,2.05E-06,13,NDF,na
494,495,2.39E-06,13,NDF,na
581,582,2.05E-06,14,NDF,na
562,563,2.05E-06,16,NDF,na
580,581,2.05E-06,18,NDF,na
582,583,2.05E-06,19,NDF,na
495,496,2.39E-06,21,NDF,na
499,500,2.39E-06,21,NDF,na
498,499,2.39E-06,22,NDF,na
577,578,2.05E-06,22,NDF,na
538,539,2.05E-06,23,NDF,na
416,417,2.05E-06,24,NDF,na
537,538,2.05E-06,25,NDF,na
562,570,2.05E-06,30,NDF,na
388,398,0.003462314,31,NDF,na
584,585,2.05E-06,31,NDF,na
496,497,2.39E-06,32,NDF,na
583,584,2.05E-06,32,NDF,na
505,506,2.39E-06,34,NDF,na
564,565,2.05E-06,35,NDF,na
565,566,2.05E-06,35,NDF,na
406,407,2.58E-06,36,NDF,na
709,712,2.05E-06,36,NDF,na
681,682,2.58E-06,37,NDF,na
707,708,2.05E-06,38,NDF,na
603,614,2.05E-06,39,NDF,na
401,420,2.05E-06,40,NDF,na
506,507,2.39E-06,40,NDF,na
539,542,0.001891495,40,NDF,na
563,564,2.05E-06,40,NDF,na
578,579,2.05E-06,40,NDF,na
579,580,2.05E-06,40,NDF,na
585,586,2.05E-06,42,NDF,na
654,668,2.07E-06,42,NDF,na
418,419,0.00053889,43,NDF,na
707,714,0.003683552,43,NDF,na
417,418,0.000347435,44,NDF,na
470,471,2.05E-06,44,NDF,na
708,709,2.05E-06,44,NDF,na
502,503,2.39E-06,45,NDF,na
586,587,0.0001753,45,NDF,na
614,616,2.05E-06,45,NDF,na
603,604,2.05E-06,46,NDF,na
576,577,1.71E-05,47,NDF,na
402,403,2.40E-06,48,NDF,na
427,428,0.024296593,48,NDF,na
679,680,0.003197593,48,NDF,na
497,498,2.39E-06,49,NDF,na
501,502,2.39E-06,49,NDF,na
538,543,2.05E-06,49,NDF,na
486,593,0.118047979,49,NDF,na
652,653,2.05E-06,49,NDF,na
442,443,2.95E-06,50,NDF,na
560,561,2.05E-06,50,NDF,na
718,719,2.05E-06,50,NDF,na
427,486,0.119147294,51,NDF,na
507,508,2.39E-06,51,NDF,na
539,540,2.05E-06,51,NDF,na
561,562,2.05E-06,51,NDF,na
402,415,0.000413901,52,NDF,na
500,501,2.39E-06,52,NDF,na
655,656,0.006281604,53,NDF,na
672,674,2.50E-06,53,NDF,na
443,444,0.015835372,54,NDF,na
463,464,2.79E-06,54,NDF,na
462,475,2.33E-06,54,NDF,na
656,667,0.006019869,54,NDF,na
678,679,2.05E-06,54,NDF,na
442,450,0.005486246,55,NDF,na
450,451,0.005318631,55,NDF,na
491,492,2.39E-06,55,NDF,na
521,523,2.28E-06,55,NDF,na
570,571,2.05E-06,55,NDF,na
717,718,2.05E-06,55,NDF,na
380,381,0.004229634,57,NDF,na
407,408,2.58E-06,57,NDF,na
462,463,0.007406588,57,NDF,na
564,568,2.05E-06,57,NDF,na
568,569,2.05E-06,57,NDF,na
607,608,2.05E-06,57,NDF,na
599,600,0.008189975,58,NDF,na
721,722,0.00398003,58,NDF,na
379,380,0.001425071,59,NDF,na
453,454,2.05E-06,59,NDF,na
493,494,2.39E-06,59,NDF,na
523,524,2.05E-06,59,NDF,na
722,723,0.006223683,59,NDF,na
723,724,0.001245268,59,NDF,na
381,388,0.005391342,60,NDF,na
712,713,2.05E-06,60,NDF,na
405,406,0.00668226,61,NDF,na
596,599,0.006115345,61,NDF,na
395,396,0.011049515,62,NDF,na
396,397,0.008705821,62,NDF,na
508,509,2.39E-06,62,NDF,na
720,721,2.64E-06,63,NDF,na
370,371,0.007199311,64,NDF,na
509,510,2.39E-06,64,NDF,na
523,528,2.40E-06,64,NDF,na
600,603,0.001741469,64,NDF,na
627,628,0.001983822,64,NDF,na
503,504,0.001015194,65,NDF,na
571,572,2.05E-06,65,NDF,na
596,597,0.003688942,65,NDF,na
671,678,0.003281836,65,NDF,na
706,707,2.05E-06,65,NDF,na
717,726,0.006238508,65,NDF,na
604,605,0.009207717,66,NDF,na
425,426,0.013672809,67,NDF,na
430,431,0.004916068,67,NDF,na
484,485,2.05E-06,67,NDF,na
512,513,2.95E-06,67,NDF,na
605,609,0.004599167,67,NDF,na
609,610,0.002795345,67,NDF,na
466,467,2.05E-06,68,NDF,na
572,573,2.05E-06,68,NDF,na
597,598,0.00705216,68,NDF,na
610,611,0.004272642,68,NDF,na
426,617,0.003689735,68,NDF,na
425,654,0.007896239,68,NDF,na
431,432,0.00597984,70,NDF,na
432,433,0.004378889,70,NDF,na
518,546,2.05E-06,70,NDF,na
556,557,2.05E-06,70,NDF,na
559,560,0.001794324,70,NDF,na
565,567,2.05E-06,70,NDF,na
668,669,0.005047526,70,NDF,na
379,702,0.014725508,70,NDF,na
371,372,2.05E-06,71,NDF,na
575,576,0.000263836,71,NDF,na
660,662,2.05E-06,71,NDF,na
482,483,2.05E-06,72,NDF,na
606,607,2.05E-06,72,NDF,na
611,612,0.01015899,72,NDF,na
671,672,0.014592249,72,NDF,na
492,493,0.001625566,73,NDF,na
493,515,2.05E-06,73,NDF,na
560,574,0.002055217,73,NDF,na
591,592,2.05E-06,73,NDF,na
704,705,2.32E-06,73,NDF,na
705,706,2.32E-06,73,NDF,na
371,377,0.003436162,74,NDF,na
428,429,2.51E-06,74,NDF,na
574,575,0.001020616,74,NDF,na
377,378,0.001708947,75,NDF,na
423,424,0.006237868,75,NDF,na
670,671,0.002694994,75,NDF,na
373,374,0.001461486,76,NDF,na
424,425,0.006041938,76,NDF,na
459,460,0.004287407,76,NDF,na
517,518,2.13E-06,76,NDF,na
520,521,0.001479446,76,NDF,na
426,427,0.014027732,77,NDF,na
473,474,2.05E-06,77,NDF,na
669,670,0.003607277,77,NDF,na
624,629,0.004295091,78,NDF,na
703,704,0.003672529,78,NDF,na
372,373,0.003755502,79,NDF,na
510,511,2.39E-06,79,NDF,na
